school_name,district,school_board,min_maths,min_science,course,annual_fee,transport,ranking,parents_salary_annual,student_location,school_location
Green Valley Academy,Trichy,ICSE,85,85,Computer Science,43289,Bus,9,158369,RS Puram,KK Nagar
Green Valley HSS,Coimbatore,ICSE,35,35,Arts,55495,Bus,9,113112,Anna Nagar,T. Nagar
Little Flower International,Kanchipuram,State Board,35,35,Arts,131093,Bus,3,244194,Gandhinagar,Lakshmi Mills
St. Joseph Academy,Madurai,ICSE,35,35,Arts,125072,Own Vehicle,2,228393,Velachery,Chromepet
Sri Ram Academy,Tirunelveli,State Board,35,35,Arts,130791,Bus,8,217026,Velachery,Guindy
Kendriya International,Coimbatore,State Board,85,85,Computer Science,133711,Own Vehicle,10,173158,Gandhipuram,Town Hall
Green Valley School,Salem,CBSE,85,85,Computer Science,137108,Van,2,153736,RS Puram,T. Nagar
Unity Academy,Madurai,State Board,35,35,Commerce,71566,Van,5,385929,Tambaram,Velachery
Evergreen School,Thanjavur,ICSE,85,85,Computer Science,46417,Walk,7,145580,T. Nagar,Lakshmi Mills
Holy Cross Academy,Chennai,ICSE,60,80,Maths Biology,132715,Bus,6,321208,Pallavaram,Velachery
Sri Ram School,Kanchipuram,State Board,35,35,Commerce,52869,Walk,7,116663,Saidapet,Mylapore
Oxford Academy,Madurai,ICSE,35,35,Arts,122647,Own Vehicle,10,115622,Adyar,Gandhipuram
St. Joseph School,Madurai,IGCSE,35,35,Arts,36915,Bus,2,149123,Anna Nagar,Anna Nagar
Aditya International,Kanchipuram,CBSE,60,80,Maths Biology,75432,Walk,10,214629,T. Nagar,Adyar
Zenith HSS,Coimbatore,State Board,35,35,Commerce,125741,Own Vehicle,2,221981,Mylapore,Velachery
Oxford International,Chennai,State Board,35,35,Arts,90612,Van,9,364951,Velachery,Besant Nagar
Don Bosco Matric School,Kanchipuram,ICSE,35,35,Commerce,45032,Own Vehicle,3,113912,Chromepet,Guindy
Evergreen Academy,Vellore,CBSE,85,85,Computer Science,39662,Own Vehicle,5,394254,Guindy,T. Nagar
Little Flower Matric School,Coimbatore,CBSE,85,85,Computer Science,120932,Walk,2,204248,Anna Nagar,Kotturpuram
Oxford International,Thanjavur,ICSE,60,80,Maths Biology,59741,Walk,4,385706,Tambaram,Saidapet
Nightingale Academy,Erode,State Board,60,80,Maths Biology,82422,Walk,2,319949,Mylapore,Pallavaram
Sri Ram Academy,Chennai,ICSE,60,80,Maths Biology,102128,Van,1,215574,Tambaram,Mylapore
Little Flower HSS,Chennai,State Board,85,85,Computer Science,34287,Van,5,335514,Saidapet,Ambattur
Little Flower Matric School,Madurai,IGCSE,35,35,Arts,56850,Walk,7,245852,Velachery,Besant Nagar
Sri Ram International,Tirunelveli,IGCSE,85,85,Computer Science,78883,Walk,1,103407,Kotturpuram,Ambattur
Green Valley International,Tirunelveli,CBSE,85,85,Computer Science,57591,Van,4,183707,Pallavaram,Velachery
Oxford International,Madurai,State Board,35,35,Arts,85637,Van,2,321571,Gandhinagar,Gandhipuram
Green Valley Matric School,Chennai,CBSE,85,85,Computer Science,146420,Van,3,278389,Anna Nagar,Anna Nagar
Unity School,Erode,CBSE,35,35,Arts,46579,Walk,1,245684,KK Nagar,RS Puram
Kendriya International,Salem,IGCSE,35,35,Commerce,116303,Walk,3,181516,Saidapet,Saidapet
Little Flower HSS,Kanchipuram,CBSE,35,35,Commerce,123038,Own Vehicle,1,212886,Town Hall,Velachery
Zenith Matric School,Madurai,CBSE,35,35,Arts,91562,Bus,3,276472,Gandhinagar,KK Nagar
Holy Cross School,Erode,CBSE,85,85,Computer Science,148416,Van,10,153587,Gandhipuram,Chromepet
Evergreen HSS,Erode,State Board,85,85,Computer Science,147513,Own Vehicle,4,148625,Mylapore,Kotturpuram
Little Flower Academy,Erode,ICSE,35,35,Commerce,113039,Own Vehicle,8,299191,Town Hall,Adyar
Green Valley International,Kanchipuram,CBSE,85,85,Computer Science,34602,Van,9,150707,RS Puram,Tambaram
Kendriya Academy,Coimbatore,ICSE,60,80,Maths Biology,73434,Own Vehicle,3,288208,T. Nagar,Velachery
Evergreen Matric School,Chennai,State Board,35,35,Commerce,147127,Bus,3,280331,Ambattur,RS Puram
Kendriya HSS,Thanjavur,ICSE,85,85,Computer Science,60697,Own Vehicle,10,238685,RS Puram,Kotturpuram
Little Flower Academy,Thanjavur,IGCSE,35,35,Commerce,57914,Bus,2,122780,Perambur,Gandhipuram
Don Bosco Academy,Chennai,CBSE,35,35,Arts,68719,Van,5,340870,Perambur,Kotturpuram
Zenith International,Thanjavur,CBSE,35,35,Arts,39663,Bus,3,381137,Guindy,Chromepet
Don Bosco Academy,Kanchipuram,ICSE,85,85,Computer Science,81333,Van,1,165444,Gandhinagar,Tambaram
Kendriya HSS,Tirunelveli,ICSE,35,35,Commerce,114399,Van,2,298461,Adyar,Guindy
Evergreen School,Trichy,ICSE,35,35,Arts,129842,Van,7,141313,Kotturpuram,Town Hall
Nightingale Academy,Erode,ICSE,60,80,Maths Biology,59970,Van,2,389428,Tambaram,Kotturpuram
Don Bosco International,Trichy,ICSE,85,85,Computer Science,132031,Walk,6,253709,RS Puram,Guindy
Little Flower HSS,Trichy,IGCSE,60,80,Maths Biology,68025,Own Vehicle,2,289600,Ambattur,Chromepet
Holy Cross Matric School,Erode,State Board,35,35,Commerce,148107,Bus,2,200814,T. Nagar,Saidapet
Evergreen Academy,Chennai,CBSE,60,80,Maths Biology,103193,Walk,6,136466,Tambaram,Tambaram
Evergreen Matric School,Coimbatore,IGCSE,35,35,Arts,142899,Van,5,124025,Lakshmi Mills,Kotturpuram
Green Valley Matric School,Thanjavur,ICSE,35,35,Arts,72739,Walk,2,219484,Guindy,KK Nagar
Evergreen Academy,Coimbatore,State Board,35,35,Commerce,91469,Own Vehicle,7,251722,Perambur,Besant Nagar
Nightingale Academy,Thanjavur,ICSE,35,35,Arts,50144,Walk,7,141833,Pallavaram,Kotturpuram
Evergreen Matric School,Salem,IGCSE,60,80,Maths Biology,96819,Bus,5,222049,Mylapore,Gandhinagar
Global Public Matric School,Kanchipuram,State Board,60,80,Maths Biology,85946,Walk,8,152953,T. Nagar,Velachery
Zenith International,Madurai,CBSE,60,80,Maths Biology,62196,Own Vehicle,2,299295,Adyar,Gandhinagar
Little Flower School,Madurai,CBSE,35,35,Commerce,31057,Van,8,245738,Velachery,Chromepet
Unity International,Kanchipuram,ICSE,85,85,Computer Science,119155,Walk,8,337717,Lakshmi Mills,Besant Nagar
Oxford HSS,Coimbatore,IGCSE,60,80,Maths Biology,53683,Van,9,291277,T. Nagar,Velachery
Zenith School,Coimbatore,IGCSE,85,85,Computer Science,42477,Walk,9,185277,Velachery,Gandhinagar
Aditya International,Kanchipuram,IGCSE,35,35,Commerce,133864,Walk,3,294081,RS Puram,Kotturpuram
Bharathi School,Salem,IGCSE,35,35,Arts,107149,Van,5,286264,Ambattur,T. Nagar
Nightingale Academy,Trichy,State Board,85,85,Computer Science,69020,Own Vehicle,9,209842,Gandhinagar,Lakshmi Mills
Oxford School,Erode,ICSE,60,80,Maths Biology,117591,Van,2,239973,Kotturpuram,Velachery
St. Joseph Matric School,Vellore,IGCSE,35,35,Arts,33161,Van,7,137435,Perambur,Gandhinagar
Don Bosco Matric School,Erode,IGCSE,85,85,Computer Science,25772,Own Vehicle,5,189725,KK Nagar,Town Hall
Zenith Matric School,Kanchipuram,ICSE,35,35,Arts,88993,Van,5,380043,Perambur,Town Hall
Green Valley International,Tirunelveli,IGCSE,35,35,Arts,119919,Van,8,228351,Perambur,Tambaram
Kendriya International,Kanchipuram,CBSE,85,85,Computer Science,36003,Walk,3,185669,Mylapore,T. Nagar
Green Valley Academy,Erode,State Board,60,80,Maths Biology,52742,Walk,6,342357,Gandhinagar,Gandhipuram
Bharathi International,Salem,CBSE,35,35,Arts,86644,Bus,9,298943,T. Nagar,Gandhipuram
Little Flower HSS,Chennai,CBSE,35,35,Commerce,149467,Van,4,241530,Guindy,Velachery
Little Flower School,Vellore,CBSE,60,80,Maths Biology,98920,Van,8,392002,KK Nagar,Ambattur
Aditya Academy,Madurai,CBSE,35,35,Commerce,126946,Van,5,215141,Tambaram,Gandhipuram
Kendriya Academy,Kanchipuram,IGCSE,85,85,Computer Science,76990,Van,2,270017,Velachery,Mylapore
Sri Ram Academy,Kanchipuram,CBSE,60,80,Maths Biology,129363,Bus,6,129327,KK Nagar,T. Nagar
Holy Cross Academy,Coimbatore,State Board,35,35,Arts,26658,Walk,8,220087,Kotturpuram,Saidapet
St. Joseph International,Madurai,IGCSE,35,35,Arts,48086,Own Vehicle,10,116829,Ambattur,Saidapet
Unity International,Kanchipuram,State Board,35,35,Arts,67245,Van,2,265388,Gandhinagar,Town Hall
Little Flower International,Kanchipuram,IGCSE,35,35,Arts,69092,Bus,8,310325,Tambaram,Tambaram
Unity School,Tirunelveli,State Board,60,80,Maths Biology,69608,Own Vehicle,10,240373,Velachery,Kotturpuram
Zenith HSS,Thanjavur,ICSE,35,35,Commerce,36221,Van,7,134701,Town Hall,Saidapet
Nightingale International,Vellore,IGCSE,60,80,Maths Biology,128931,Bus,2,210615,Adyar,Adyar
Global Public School,Salem,State Board,60,80,Maths Biology,87031,Own Vehicle,7,397365,Velachery,Mylapore
St. Joseph International,Salem,State Board,35,35,Commerce,57951,Van,2,264981,Adyar,Saidapet
Sri Ram Matric School,Madurai,ICSE,35,35,Commerce,53361,Walk,5,211477,Town Hall,Ambattur
Sri Ram School,Salem,ICSE,35,35,Commerce,72301,Van,5,361740,Ambattur,Pallavaram
Bharathi HSS,Chennai,State Board,60,80,Maths Biology,116411,Van,8,307425,Gandhinagar,Anna Nagar
Evergreen Academy,Vellore,IGCSE,85,85,Computer Science,82733,Own Vehicle,3,340570,T. Nagar,Pallavaram
Don Bosco International,Coimbatore,CBSE,35,35,Commerce,77521,Walk,2,174905,Mylapore,Ambattur
Oxford School,Kanchipuram,State Board,85,85,Computer Science,36164,Van,2,238873,Pallavaram,Besant Nagar
Evergreen Matric School,Kanchipuram,ICSE,35,35,Arts,126671,Walk,8,173206,Town Hall,Anna Nagar
Don Bosco Matric School,Erode,State Board,35,35,Commerce,99531,Bus,10,229303,Mylapore,Perambur
Holy Cross School,Salem,CBSE,60,80,Maths Biology,45585,Van,3,394318,Besant Nagar,Lakshmi Mills
Oxford HSS,Erode,IGCSE,85,85,Computer Science,115357,Walk,5,382579,Ambattur,Ambattur
Bharathi Academy,Vellore,CBSE,60,80,Maths Biology,115096,Van,5,237752,Kotturpuram,Saidapet
Global Public HSS,Thanjavur,ICSE,60,80,Maths Biology,109886,Van,5,324622,Gandhipuram,Tambaram
Green Valley School,Salem,State Board,85,85,Computer Science,82560,Bus,8,309400,Gandhinagar,Tambaram
Nightingale International,Salem,IGCSE,35,35,Commerce,82377,Bus,10,289790,Gandhipuram,Guindy
Nightingale Academy,Kanchipuram,State Board,35,35,Arts,28390,Bus,4,214987,Velachery,Velachery
Aditya Academy,Kanchipuram,CBSE,85,85,Computer Science,125022,Van,8,172525,Tambaram,Besant Nagar
Kendriya Academy,Madurai,IGCSE,35,35,Arts,108202,Walk,2,367138,Tambaram,Velachery
Global Public Academy,Tirunelveli,CBSE,35,35,Commerce,137424,Van,6,358744,Gandhinagar,Gandhinagar
Bharathi International,Thanjavur,CBSE,35,35,Arts,84614,Bus,6,147662,Pallavaram,Saidapet
Sri Ram International,Thanjavur,CBSE,35,35,Commerce,111200,Walk,7,124702,Saidapet,Besant Nagar
Zenith Academy,Kanchipuram,IGCSE,60,80,Maths Biology,106973,Walk,1,157487,Pallavaram,Anna Nagar
Zenith School,Salem,IGCSE,35,35,Commerce,140454,Walk,2,180132,Ambattur,Ambattur
Nightingale School,Salem,CBSE,60,80,Maths Biology,97384,Walk,2,183876,Perambur,Town Hall
Unity HSS,Madurai,IGCSE,85,85,Computer Science,147244,Own Vehicle,9,321333,Velachery,Ambattur
Global Public International,Vellore,ICSE,35,35,Commerce,84871,Van,7,133306,Gandhipuram,KK Nagar
Don Bosco HSS,Salem,IGCSE,60,80,Maths Biology,69548,Own Vehicle,1,301728,Chromepet,Kotturpuram
Don Bosco Matric School,Kanchipuram,IGCSE,35,35,Commerce,138411,Van,8,300078,Besant Nagar,Gandhipuram
St. Joseph Academy,Thanjavur,IGCSE,35,35,Arts,84682,Own Vehicle,4,345392,T. Nagar,Guindy
Evergreen International,Trichy,IGCSE,60,80,Maths Biology,30720,Own Vehicle,8,377408,Adyar,Tambaram
Global Public School,Vellore,CBSE,35,35,Arts,41547,Own Vehicle,2,231813,RS Puram,Anna Nagar
Zenith International,Chennai,ICSE,85,85,Computer Science,78736,Van,2,390049,Gandhipuram,Ambattur
St. Joseph Matric School,Erode,CBSE,35,35,Commerce,136642,Own Vehicle,9,106019,KK Nagar,Pallavaram
Holy Cross International,Thanjavur,CBSE,35,35,Commerce,105931,Bus,4,160058,Saidapet,Pallavaram
Little Flower HSS,Erode,CBSE,35,35,Commerce,124663,Bus,8,381527,Guindy,Anna Nagar
Kendriya HSS,Chennai,State Board,35,35,Commerce,129352,Bus,5,239893,T. Nagar,T. Nagar
