Preferred_Degree,College,Stream,City
B.Tech,Indian Institute of Technology Madras,Engineering,Chennai
B.Tech,NIT Tiruchirappalli,Engineering,Trichy
B.Tech,Anna University,Engineering,Chennai
B.Tech,VIT Vellore,Engineering,Vellore
B.Tech,SRM Institute of Science and Technology,Engineering,Chennai
B.Tech,PSG College of Technology,Engineering,Coimbatore
B.Tech,SSN College of Engineering,Engineering,Chennai
B.Tech,SASTRA University,Engineering,Thanjavur
B.Tech,Thiagarajar College of Engineering,Engineering,Madurai
B.Tech,Karpagam College of Engineering,Engineering,Coimbatore
MBBS,Madras Medical College,Medicine,Chennai
MBBS,Stanley Medical College,Medicine,Chennai
MBBS,Christian Medical College,Medicine,Vellore
MBBS,Sri Ramachandra Medical College,Medicine,Chennai
MBBS,Saveetha Medical College,Medicine,Chennai
MBBS,PSG Medical College,Medicine,Coimbatore
MBBS,Madurai Medical College,Medicine,Madurai
MBBS,Kilpauk Medical College,Medicine,Chennai
MBBS,SRM Medical College,Medicine,Chennai
BSc.Maths/Statistics,Loyola College Chennai,Science,Chennai
BSc.Maths/Statistics,"Madras Christian College (MCC, Chennai)",Science,Chennai
BSc.Maths/Statistics,St. Joseph's College Tiruchirappalli,Science,Trichy
BSc.Maths/Statistics,Holy Cross College Tiruchirappalli,Science,Trichy
BSc.Maths/Statistics,PSG College of Arts and Science,Science,Coimbatore
B.Com,Loyola College,Commerce,Chennai
B.Com,MCC College,Commerce,Chennai
B.Com,PSG Arts College,Commerce,Coimbatore
B.Com,Bishop Heber College,Commerce,Trichy
B.Com,Ethiraj College,Commerce,Chennai
BSc.Agri,TNAU,Agriculture,Coimbatore
BSc.Agri,AC&RI Madurai,Agriculture,Madurai
BSc.Agri,Killikulam Agriculture College,Agriculture,Tuticorin
BSc.Agri,Adhiparasakthi Agriculture College,Agriculture,Vellore
BSc.Agri,Imayam Agriculture College,Agriculture,Trichy
B.Ed,Lady Willingdon College,Teaching,Chennai
B.Ed,Government College of Education,Teaching,Chennai
B.Ed,St Christopher College,Teaching,Chennai
B.Ed,Bishop Heber College,Teaching,Trichy
LLB,Government Law College Trichy,Law,Trichy
LLB,SRM Law School,Law,Chennai
LLB,Saveetha Law College,Law,Chennai
MBA / Any Degree,Anna University,Management,Chennai
MBA / Any Degree,PSG Institute of Management,Management,Coimbatore
MBA / Any Degree,SRM University,Management,Chennai
MBA / Any Degree,VIT Business School,Management,Vellore
MBA / Any Degree,Bharathiar University,Management,Coimbatore
BSc. Chemistry,Loyola College Chennai,Science,Chennai
BSc. Chemistry,"Madras Christian College (MCC, Chennai)",Science,Chennai
BSc. Chemistry,St. Joseph's College Tiruchirappalli,Science,Trichy
BSc. Chemistry,Holy Cross College Tiruchirappalli,Science,Trichy
BSc. Chemistry,PSG College of Arts and Science,Science,Coimbatore
BSc.Physics,Loyola College Chennai,Science,Chennai
BSc.Physics,"Madras Christian College (MCC, Chennai)",Science,Chennai
BSc.Physics,St. Joseph's College Tiruchirappalli,Science,Trichy
BSc.Physics,Holy Cross College Tiruchirappalli,Science,Trichy
BSc.Physics,PSG College of Arts and Science,Science,Coimbatore
Any Science Degree,IIT Institute of Madras,Research,Chennai
Any Science Degree,Anna University,Research,Chennai
Any Science Degree,Christian Medical College Vellore,Research,Vellore
Any Science Degree,VIT Vellore,Research,Vellore
Any Science Degree,Bharathiar University,Research,Coimbatore
BA,Jamal Mohamed College,Arts,Trichy
BA,American College,Arts,Madurai
BA,Loyola College,Arts,Chennai
BA,Madras Christian College,Arts,Chennai
BA,Presidency College,Arts,Chennai
BA,Bishop Heber College,Arts,Trichy
BA,PSG College of Arts and Science,Arts,Coimbatore
BA  Psychology,Jamal Mohamed College,Psychology,Trichy
BA  Psychology,American College,Psychology,Madurai
BA  Psychology,Loyola College,Psychology,Chennai
BA  Psychology,Madras Christian College,Psychology,Chennai
BA  Psychology,Presidency College,Psychology,Chennai
BA  Psychology,Bishop Heber College,Psychology,Trichy
BA  Psychology,PSG College of Arts and Science,Psychology,Coimbatore
BA,Loyola College,Fine Arts,Chennai
BA,Madras Christian College,Fine Arts,Chennai
BA,Presidency College,Fine Arts,Chennai
BA,Bishop Heber College,Fine Arts,Trichy
BA,PSG College of Arts and Science,Fine Arts,Coimbatore
BA Journalism,Loyola College,Journalism,Chennai
BA Journalism,Madras Christian College,Journalism,Chennai
BA Journalism,Presidency College,Journalism,Chennai
BA Journalism,Bishop Heber College,Journalism,Trichy
BA Journalism,PSG College of Arts and Science,Journalism,Coimbatore
Any Degree,⭐ Shankar IAS Academy Chennai,IAS,Chennai
Any Degree,⭐ Kamaraj IAS Academy,IAS,Chennai
Any Degree,⭐ Officers IAS Academy,IAS,Chennai
Any Degree,⭐ Gurunath IAS Academy,IAS,Trichy
Any Degree,⭐ SA IAS Academy,IAS,Coimbatore
B.Com,🏫 RR Academy – Chennai,CA,Chennai
B.Com,🏫 ArivuPro Academy – Chennai,CA,Chennai
B.Com,🏫 VSI CA Classes,CA,Chennai
B.Com,. 🏫 KS Academy / Smart Learn,CA,Chennai
B.Des,Jamal Mohamed College,Arts,Trichy
B.Des,American College,Arts,Madurai
B.Des,Loyola College,Arts,Chennai
B.Des,Madras Christian College,Arts,Chennai
B.Des,Presidency College,Arts,Chennai
B.Des,Bishop Heber College,Arts,Trichy
B.Des,PSG College of Arts and Science,Arts,Coimbatore
